ema9,ema15,ema_distance,volatility,label
75043.647482,75047.683681,-4.036199,20.452322,0
75044.481985,75047.699935,-3.21795,20.346174,0
75044.431588,75047.265408,-2.83382,19.929836,0
75041.78527,75045.256948,-3.471678,17.38643,0
75037.464216,75042.122633,-4.658417,12.057757,0
75035.407373,75040.254693,-4.84732,11.72115,0
75028.385899,75035.260768,-6.87487,16.053067,0
75024.896718,75032.219974,-7.323256,17.259249,0
75019.919375,75028.193727,-8.274352,17.470832,0
75014.4535,75023.743484,-9.289984,18.782118,0
75008.80104,75017.810718,-9.009678,17.841552,0
75003.794833,75013.556162,-9.761329,15.943855,0
75003.801866,75012.340632,-8.538766,13.307632,0
75004.259494,75011.560204,-7.30071,12.025753,0
75000.531595,75008.317879,-7.786284,9.237733,0
74973.581276,74990.500253,-16.918977,42.699466,0
74963.861021,74982.310723,-18.449702,45.344877,0
74956.416817,74975.351859,-18.935042,46.910976,0
74953.317454,74971.048472,-17.731018,46.810453,0
74947.285963,74965.062413,-17.77645,47.301537,0
74939.724771,74958.115076,-18.390305,46.036179,0
74938.445817,74955.016969,-16.571152,44.293351,0
74945.556653,74957.389321,-11.832668,40.508109,0
74956.445323,74962.716225,-6.270902,39.418531,0
74965.154258,74967.375134,-2.220876,41.536589,0
