ema9,ema15,ema_distance,volatility,label
80163.982927,80149.349348,14.633579,38.222745,0
80183.136345,80163.15122,19.985125,51.662408,0
80194.481085,80172.744556,21.736529,52.889132,0
80203.696871,80181.223337,22.473534,51.43181,0
80208.371506,80186.959046,21.41246,43.772767,0
80206.621207,80188.542722,18.078485,35.751365,0
80212.068959,80194.204058,17.864901,33.626107,0
80218.201169,80200.270831,17.930338,31.146912,0
80218.760932,80202.860064,15.900868,21.086254,0
80216.940741,80203.707648,13.233093,18.515733,1
80216.016599,80204.787308,11.229291,18.230503,1
80219.426218,80209.513001,9.913217,14.742862,0
80220.778976,80211.59823,9.180746,13.548967,0
80230.837181,80219.032592,11.80459,20.639171,0
80238.081742,80225.034184,13.047558,21.869245,0
80239.397394,80227.487616,11.909777,22.168822,0
80245.115912,80232.549026,12.566886,24.54724,0
80246.652731,80235.081104,11.571627,24.327612,0
80250.922191,80239.199128,11.723063,23.210566,0
80255.337749,80243.422286,11.915463,21.328328,0
80251.213754,80243.690793,7.522961,17.193577,0
80239.055002,80237.03107,2.023931,25.731896,1
80234.571997,80234.480063,0.091934,27.116239,1
80230.987603,80232.25386,-1.266257,27.68988,1
80235.210082,80234.734411,0.475671,27.864486,1
80245.384063,80241.151506,4.232557,30.167474,1
80255.191248,80247.808833,7.382415,34.033372,1
80256.288996,80249.416468,6.872528,33.652455,1
80255.455205,80249.758383,5.696822,32.567784,1
80256.324171,80251.01772,5.306451,32.492511,1
80257.021341,80252.11886,4.902481,32.235781,1
80257.577088,80253.086913,4.490175,24.885821,1
80261.541674,80256.12824,5.413434,21.438279,1
80258.435339,80254.863303,3.572037,15.832277,1
80263.022266,80258.173611,4.848655,15.924344,1
80266.811809,80261.146275,5.665534,15.44447,1
80284.185451,80272.714846,11.470605,30.762741,1
80295.350361,80281.126742,14.223619,36.794418,1
80304.462287,80288.598902,15.863385,39.603966,1
80313.567826,80296.270843,17.296983,42.131928,1
80327.866262,80307.370132,20.49613,47.438625,0
80334.60701,80314.145309,20.461701,45.980413,0
80342.25729,80324.158642,18.098648,35.377572,1
80336.531834,80322.843213,13.688621,30.450696,1
80335.399468,80323.846998,11.55247,22.101125,1
80337.915572,80326.862259,11.053312,22.047444,1
80338.968454,80328.900261,10.068193,21.931516,1
80341.574771,80331.791903,9.782869,21.757183,1
80336.513824,80329.855221,6.658602,24.246714,1
80336.379061,80330.604348,5.774712,20.270596,1
80343.629255,80335.860817,7.768437,21.71877,0
80355.5894,80344.305094,11.284307,26.698634,0
80383.957517,80363.443987,20.51353,54.672001,0
80407.564011,80380.761014,26.802998,67.383441,0
80418.701215,80391.075292,27.625923,69.591044,0
80422.02497,80396.60479,25.42018,68.732738,0
80424.681979,80401.44459,23.237389,66.075699,0
80428.307576,80406.611519,21.696057,63.190357,1
80427.550056,80408.847723,18.702334,51.567905,1
80424.190046,80409.086186,15.103861,40.399149,1
80421.752036,80409.450052,12.301984,34.765887,1
80417.401633,80408.270722,9.130911,35.210246,1
80425.193313,80414.285281,10.908032,30.09368,1
80430.951318,80420.58695,10.364368,17.604343,1
80432.255061,80422.700633,9.554428,17.690282,1
80429.690051,80422.293309,7.396743,17.887665,1
80423.610049,80419.422266,4.187783,19.277248,1
80417.310036,80416.006498,1.303538,21.781855,1
80409.454029,80411.259497,-1.805468,25.609405,1
80408.495221,80410.433384,-1.938162,25.894558,1
80409.354172,80410.725567,-1.371394,25.271774,1
80424.481344,80420.011607,4.469737,31.034175,1
80441.931076,80431.47718,10.453897,42.146067,1
80453.302857,80439.889387,13.41347,47.687465,1
80458.042284,80444.527225,13.515059,49.613125,1
80459.587828,80447.182804,12.405024,49.86168,1
80459.380262,80448.603702,10.77656,47.62482,1
80462.416214,80451.850308,10.565906,43.769811,1
80462.846969,80453.439411,9.407558,33.941891,1
80463.191583,80454.834649,8.356934,26.516154,1
80462.011266,80455.141218,6.870047,17.950378,1
80462.523009,80456.317862,6.205146,17.947977,1
80486.041926,80472.933194,13.108732,27.052465,1
80503.917543,80485.74537,18.172173,40.987976,1
80521.334036,80498.902635,22.431401,51.340152,1
80561.541227,80526.835036,34.70619,84.546961,1
80582.608976,80544.337921,38.271055,92.84,1
80609.085174,80565.665984,43.41919,101.801397,1
80617.304144,80576.232523,41.071621,97.059376,1
80653.713315,80604.122208,49.591107,105.213762,0
80684.780658,80629.741274,55.039384,103.69748,0
80706.330532,80650.092828,56.237704,97.466213,0
80697.260427,80651.454452,45.805975,84.01203,0
80688.384336,80651.629703,36.754633,74.453222,0
80676.967467,80649.087744,27.879724,68.378464,0
80653.223975,80637.733695,15.49028,83.185721,1
80642.08718,80632.709484,9.377696,88.391143,1
80633.671744,80628.622048,5.049696,91.718706,1
80620.757398,80621.183327,-0.425929,97.573811,1
80610.269913,80614.572673,-4.30276,89.824096,1
80596.677937,80605.542923,-8.864986,73.482811,1
80590.868349,80600.80386,-9.935511,41.245824,1
80576.692691,80590.708381,-14.01569,40.206289,1
80564.466151,80581.313641,-16.847491,36.064084,1
80556.211938,80571.838024,-15.626085,30.178283,1
80552.353556,80567.476329,-15.122773,26.813318,1
80546.642841,80562.014739,-15.371898,21.264447,1
80538.076276,80554.740831,-16.664555,22.141054,1
80526.479013,80545.405549,-18.926536,25.126194,1
80518.639207,80538.137919,-19.498711,27.327809,1
80512.043369,80531.579682,-19.536314,24.045724,1
80509.952698,80527.832464,-17.879766,24.179688,1
80506.240157,80523.276738,-17.03658,24.91989,1
80506.816127,80521.507915,-14.691787,24.278427,1
80510.190896,80521.777559,-11.586663,18.976632,1
80522.17872,80527.823321,-5.644601,26.662338,1
80538.726982,80537.463614,1.263368,40.742462,1
80555.361591,80548.020849,7.340742,52.351395,1
80581.037288,80564.99394,16.043348,68.840034,1
80600.459831,80579.138845,21.320986,76.217278,1
80615.703859,80591.328111,24.375747,77.484927,1
80619.949082,80597.025912,22.923171,72.752924,1
80629.433266,80605.818922,23.614344,64.464018,1
80643.690614,80617.682211,26.008403,56.764223,1
80666.130488,80634.956589,31.173899,52.885141,1
80697.046388,80658.174565,38.871824,63.963975,1
80732.706087,80690.440512,42.265574,64.857799,1
80740.582879,80700.651614,39.931265,65.217861,1
80754.8603,80714.565064,40.295236,67.110513,1
80764.66624,80725.730725,38.935515,65.099664,1
80763.918992,80730.130291,33.788701,49.931438,1
80763.64319,80734.179931,29.463259,35.512697,1
80764.712549,80738.529433,26.183116,23.564977,1
80771.014038,80745.740128,25.27391,21.4223,1
80774.423228,80751.028884,23.394344,18.280819,1
80778.866587,80756.732596,22.133991,18.583745,1
80775.313271,80757.279231,18.03404,19.313089,1
80781.678629,80763.518123,18.160505,20.414825,1
80789.544907,80770.70694,18.837967,21.854389,1
80800.561924,80779.946194,20.61573,28.278091,1
80811.049535,80789.076019,21.973516,32.21355,1
80828.437626,80802.689288,25.748339,41.795379,1
80857.8461,80824.287497,33.558603,63.002061,0
80811.049668,80789.106758,21.942911,32.21355,1
80857.846408,80824.360586,33.485822,63.002061,1
80860.401042,80830.124618,30.276424,62.41848,1
80875.786907,80843.541239,32.245668,65.949475,0
80887.051426,80854.59085,32.460577,66.201767,0
80892.06337,80861.830193,30.233176,54.838473,0
80899.004711,80869.950885,29.053826,48.628715,0
80901.311743,80875.019048,26.292695,40.649253,0
80901.447193,80878.346808,23.100385,34.617575,0
80893.999742,80876.577022,17.42272,32.626377,1
80895.19376,80879.49399,15.69977,32.531608,1
80892.582896,80879.800525,12.782371,25.217274,1
80895.052377,80882.954734,12.097643,22.378775,0
80889.749906,80881.153711,8.596194,22.662339,1
80883.389877,80878.243001,5.146876,23.234333,1
80879.485901,80876.446117,3.039783,23.807007,1
80880.736681,80877.59923,3.13745,19.556409,1
80883.117383,80879.48772,3.629663,17.574874,1
