ema9,ema15,ema_distance,volatility,label
4533.844721,4532.475216,1.369504,1.746759,0
4533.847776,4532.648313,1.199463,1.719491,0
4533.773777,4532.875942,0.897835,1.523394,0
4533.965022,4533.107675,0.857347,1.372265,0
4534.328018,4533.441876,0.886142,0.938794,0
4534.326414,4533.551655,0.774759,0.907402,0
4534.235131,4533.591076,0.644055,0.942305,0
4533.960105,4533.499794,0.46031,0.958225,1
4533.686084,4533.38607,0.300014,1.018541,1
4533.434867,4533.266472,0.168394,1.048623,1
4533.233893,4533.161914,0.071979,1.128113,1
4533.491114,4533.331529,0.159585,1.14294,0
4533.431913,4533.343135,0.088778,1.230393,1
4533.02553,4533.100136,-0.074606,1.133208,1
4532.906424,4533.016457,-0.110033,1.069426,1
4532.771139,4532.918151,-0.147012,1.037248,1
4532.576911,4532.778217,-0.201306,1.081606,1
4533.135529,4533.102025,0.033504,1.374621,0
4533.794423,4533.51804,0.276383,1.738909,0
4534.235538,4533.82834,0.407199,1.888188,0
4534.332431,4533.939907,0.392524,1.898739,0
4534.497945,4534.092384,0.405561,1.929601,0
4534.350356,4534.050836,0.29952,1.851492,0
4534.266285,4534.035819,0.230466,1.626558,0
4534.361028,4534.1239,0.237128,1.509777,0
4534.354822,4534.14968,0.205143,1.304311,0
4534.233858,4534.099787,0.134071,0.926144,0
4534.291086,4534.152285,0.138802,0.908799,0
4534.294869,4534.172053,0.122816,0.690182,0
4534.701895,4534.44187,0.260026,0.771769,0
4535.017517,4534.671709,0.345807,0.946672,0
4535.270013,4534.872611,0.397402,1.064603,0
4535.48201,4535.054785,0.427225,1.089393,0
4535.643609,4535.209358,0.434251,1.068001,0
4535.78711,4535.41016,0.37695,1.040945,0
4535.661688,4535.37902,0.282668,0.83284,0
4535.687351,4535.430417,0.256934,0.708614,0
4535.749881,4535.501698,0.248183,0.437879,0
4535.883904,4535.616434,0.26747,0.444778,0
4536.033124,4535.743203,0.289921,0.475418,0
4536.310499,4535.952766,0.357733,0.631703,0
4536.696399,4536.238706,0.457693,0.899361,0
4536.893119,4536.418923,0.474197,0.981554,0
4537.112496,4536.615448,0.497048,1.082235,0
4536.973997,4536.590977,0.38302,1.017057,0
4536.653197,4536.438328,0.214869,0.981554,1
4536.236558,4536.204841,0.031716,1.176872,1
4536.011246,4536.068059,-0.056813,1.263938,1
4535.922997,4536.005803,-0.082806,1.304207,0
4535.846397,4535.947339,-0.100942,1.337265,0
4535.635118,4535.802727,-0.167609,1.370611,1
4535.790095,4535.879013,-0.088918,1.163866,0
4535.914076,4535.945449,-0.031373,1.013024,0
4535.847261,4535.899848,-0.052587,0.666184,1
4535.709809,4535.807414,-0.097605,0.60541,1
4535.440278,4535.608968,-0.168691,0.577186,1
4535.300222,4535.500432,-0.20021,0.612133,1
4535.022178,4535.301576,-0.279398,0.769404,1
4534.465742,4534.918879,-0.453136,1.21053,1
4534.096594,4534.631518,-0.534924,1.413164,1
4533.929275,4534.460006,-0.530731,1.3385,1
4533.88742,4534.367741,-0.480321,1.14197,1
4533.909936,4534.321866,-0.41193,1.019488,1
4533.947949,4534.294224,-0.346274,0.931849,1
4534.014359,4534.292392,-0.278032,0.865797,1
4534.395487,4534.495824,-0.100337,1.044142,1
4534.71639,4534.683733,0.032657,1.220685,1
4535.263112,4535.029447,0.233664,1.633554,0
4535.69849,4535.330856,0.367633,1.709935,0
4536.178792,4535.677054,0.501738,1.782121,0
4536.563034,4535.980014,0.58302,1.785438,0
4537.250427,4536.482385,0.768042,2.018407,0
4537.548341,4536.764548,0.783794,1.909532,0
4537.720673,4536.970141,0.750532,1.647397,0
4537.845631,4537.225698,0.619932,1.021787,0
4537.978504,4537.386236,0.592268,0.734533,0
4538.026804,4537.490639,0.536165,0.675242,0
4538.351443,4537.760576,0.590868,0.701111,0
4538.611154,4537.996536,0.614618,0.751957,0
4538.656923,4538.101898,0.555025,0.717833,0
4538.741539,4538.22425,0.517288,0.597532,0
4539.273231,4538.621202,0.652029,1.03751,0
4539.554585,4538.878514,0.676071,1.140683,0
4539.767668,4539.096511,0.671157,1.11527,0
4539.730135,4539.15704,0.573095,1.021296,0
4539.908108,4539.339872,0.568236,0.983047,0
4540.294486,4539.652277,0.642209,0.989166,0
4540.101589,4539.61203,0.489559,1.013664,0
4539.699271,4539.421654,0.277616,1.20377,0
4539.491417,4539.326462,0.164954,1.224346,0
4539.199134,4539.164475,0.034658,1.349669,0
4539.091307,4539.10138,-0.010073,1.284484,0
4538.893045,4538.976157,-0.083112,1.304855,0
4538.692436,4538.840455,-0.148018,1.295874,0
4538.345949,4538.605379,-0.25943,1.440353,0
4538.17876,4538.468633,-0.289874,1.340315,0
4537.772006,4538.141606,-0.3696,0.671628,0
4537.251605,4537.77016,-0.518555,1.059874,0
4537.043284,4537.575136,-0.531852,1.050198,0
4536.958627,4537.455773,-0.497146,1.032066,0
4536.846902,4537.323711,-0.476809,0.899738,0
4536.931521,4537.31696,-0.385439,0.811518,0
4537.007217,4537.316145,-0.308928,0.744939,0
4537.097774,4537.334145,-0.236372,0.775486,0
4537.086219,4537.297414,-0.211195,0.742354,0
4537.076975,4537.265255,-0.18828,0.683306,0
4537.06958,4537.237167,-0.167587,0.688593,0
4537.143664,4537.262593,-0.118928,0.435202,0
4537.122931,4537.23472,-0.111789,0.34017,0
