ema9,ema15,ema_distance,volatility,label
27937.644565,27934.07431,3.570255,3.845,0
27937.715634,27934.561126,3.154508,3.845,1
27938.638005,27935.909946,2.728059,1.35298,0
27938.360408,27936.078282,2.282126,1.57586,1
27939.188326,27936.880914,2.307412,1.764031,0
27940.378721,27939.658548,0.720173,2.334672,0
27940.852977,27940.045062,0.807915,2.348167,0
27941.032378,27940.257268,0.77511,2.060879,0
27941.875905,27940.882105,0.9938,2.418103,0
27942.250693,27941.233879,1.016814,2.243045,0
27940.800559,27940.455473,0.345085,2.936835,1
27938.640451,27939.149534,-0.509082,4.565039,1
27937.962344,27938.658362,-0.696019,4.651463,1
27936.814719,27937.637681,-0.822962,4.974169,1
27940.601781,27939.902964,0.698817,7.435883,1
27943.181419,27941.601268,1.580151,8.685077,1
27946.695146,27943.99718,2.697966,10.761815,1
27949.856117,27946.310115,3.546002,12.572042,1
27952.6349,27948.491427,4.143473,13.55329,1
27957.507913,27952.053589,5.454324,15.136876,1
27961.906328,27955.483894,6.422435,16.283107,1
27964.775062,27958.079491,6.695571,15.55905,1
27978.952821,27969.901415,9.051406,15.164583,0
27980.612249,27972.06833,8.543919,13.367249,1
27982.689805,27974.435949,8.253855,12.172972,0
27983.401844,27975.912871,7.488973,10.102805,1
27983.021481,27976.61234,6.409141,7.246695,1
27984.617186,27978.411212,6.205975,6.624292,0
27982.935076,27983.470193,-0.535117,3.732831,0
27982.598062,27983.192835,-0.594773,3.468209,0
27981.728453,27982.575726,-0.847273,3.628973,1
27981.632757,27982.408767,-0.776011,2.865504,0
27981.75621,27982.389999,-0.633788,2.730486,0
27982.504966,27982.778169,-0.273203,3.001041,0
27981.303969,27981.992652,-0.688683,2.643782,1
27980.393183,27981.339061,-0.945877,2.810694,1
27979.51455,27980.672424,-1.157874,3.034981,1
27979.161636,27980.306292,-1.144656,3.104209,1
27978.429313,27979.706417,-1.277104,3.291825,1
27977.843441,27979.178543,-1.335102,3.375669,1
27977.074755,27978.531723,-1.456968,3.668939,1
27976.859808,27978.216169,-1.356361,3.54152,1
27976.487841,27977.812988,-1.325146,3.204164,1
27976.040272,27977.367448,-1.327176,1.139261,1
27975.982219,27977.165516,-1.183297,1.106797,1
27976.43578,27977.302071,-0.866291,1.347838,1
27977.298622,27977.732731,-0.434108,2.069789,1
27977.188903,27977.61105,-0.422146,2.014013,1
27976.85112,27977.346671,-0.495551,2.014013,1
27976.180883,27976.862937,-0.682054,2.180883,1
27976.394699,27976.909662,-0.514963,2.094304,1
27976.415767,27976.860195,-0.444428,2.092314,1
27976.632613,27976.940005,-0.307392,2.062226,1
27977.706091,27977.572753,0.133339,2.492349,1
27984.67954,27982.307257,2.372283,7.501898,1
27986.143643,27983.521253,2.62239,7.980706,1
27991.663569,27988.142484,3.521085,8.14896,0
27991.880859,27988.719252,3.161607,6.745832,0
27991.454682,27988.847018,2.607664,4.811445,0
27991.663772,27989.30936,2.354413,3.129164,0
27991.431023,27989.45935,1.971673,2.960973,0
27990.59481,27989.181358,1.413452,3.58711,0
27989.975842,27988.969779,1.006062,3.99305,0
27989.230679,27988.63105,0.599629,4.459774,0
27987.534536,27987.644344,-0.109808,5.0459,1
27986.677621,27987.093476,-0.415855,4.742611,0
27986.442112,27986.897441,-0.455329,3.884084,0
27985.103682,27986.002519,-0.898837,4.136222,1
27983.632947,27984.971203,-1.338256,4.72317,1
27982.106358,27983.849885,-1.743527,4.732864,1
27980.685086,27982.743484,-2.058398,4.705493,1
27981.348079,27982.902869,-1.55479,4.397048,1
27983.028462,27983.758512,-0.73005,4.775225,1
27985.822763,27985.412289,0.410474,6.707427,0
27988.258209,27986.985504,1.272705,8.160882,0
27988.256564,27987.14282,1.113744,8.221922,1
27991.305256,27989.188379,2.116876,10.079683,0
27991.544198,27989.60084,1.943357,9.879166,1
27994.485356,27991.681488,2.803868,10.620636,1
28000.188292,27995.597877,4.590415,13.295493,0
28005.200626,27999.302734,5.897891,14.065818,1
28011.410494,28003.919651,7.490843,16.6243,1
28018.628397,28009.367609,9.260788,20.041277,1
28026.202721,28015.259904,10.942817,23.678049,0
28028.062176,28017.789833,10.272344,23.175598,1
28031.799737,28021.408859,10.390877,21.15971,1
28036.789794,28025.827496,10.962297,21.2051,1
28044.481837,28032.005641,12.476196,19.913772,0
28048.935474,28036.349763,12.585711,17.225949,0
28051.098366,28039.271809,11.826556,15.368732,1
28057.428693,28044.706666,12.722027,15.575198,1
28065.092953,28051.086834,14.006119,18.18006,0
28071.574365,28056.88906,14.685305,20.390987,0
28074.509489,28060.558432,13.951057,20.802243,0
28077.307591,28064.051128,13.256463,17.428903,0
28076.74607,28065.356739,11.389331,14.243054,1
28079.946859,28068.78156,11.165299,12.627929,1
28085.857486,28073.871033,11.986453,15.019524,0
28088.385988,28076.949406,11.436582,13.957301,0
28083.227826,28080.531168,2.696658,12.282129,1
28085.982263,28082.590104,3.392159,10.179807,0
28127.358828,28125.821229,1.537599,3.542304,0
